State,Total defense spending in (billions)
TEXAS,$72.13B
VIRGINIA,$40.48B
CALIFORNIA,$35.64B
CONNECTICUT,$22.59B
NO STATE LISTED,$22.06B
MARYLAND,$20.50B
FLORIDA,$17.83B
ARIZONA,$17.37B
MASSACHUSETTS,$16.49B
PENNSYLVANIA,$13.58B
MISSOURI,$13.01B
KENTUCKY,$9.72B
ALABAMA,$9.31B
NEW YORK,$9.11B
GEORGIA,$8.32B
COLORADO,$7.26B
WASHINGTON,$7.18B
OHIO,$6.68B
ILLINOIS,$6.58B
NORTH CAROLINA,$6.15B
MISSISSIPPI,$6.11B
NEW JERSEY,$5.33B
DISTRICT OF COLUMBIA,$4.96B
MICHIGAN,$4.65B
WISCONSIN,$4.42B
INDIANA,$3.77B
OKLAHOMA,$3.31B
SOUTH CAROLINA,$2.84B
MAINE,$2.72B
LOUISIANA,$2.66B
HAWAII,$2.49B
TENNESSEE,$2.36B
IOWA,$2.15B
NEW MEXICO,$1.94B
UTAH,$1.94B
NEVADA,$1.78B
NEW HAMPSHIRE,$1.73B
MINNESOTA,$1.72B
ALASKA,$1.53B
GUAM,$1.26B
KANSAS,$1.16B
NEBRASKA,$0.97B
OREGON,$0.95B
RHODE ISLAND,$0.72B
ARKANSAS,$0.67B
WEST VIRGINIA,$0.61B
VERMONT,$0.53B
PUERTO RICO,$0.52B
MONTANA,$0.38B
NORTH DAKOTA,$0.34B
SOUTH DAKOTA,$0.31B
IDAHO,$0.29B
DELAWARE,$0.24B
MARSHALL ISLANDS,$0.22B
WYOMING,$0.12B
PALAU,$0.01B
NORTHERN MARIANA ISLANDS,$0.01B
VIRGIN ISLANDS OF THE U.S.,$0.01B
VIRGIN ISLANDS,$0.00B
MICRONESIA,$0.00B
AMERICAN SAMOA,$0.00B
